#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B278C5
#Date Time: 2025-03-28 12:18:18.446
#Sample rate: 10239.6Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 500 mV
#Symmetry: 1 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.3981598912500001,-0.003035551450026723,0.0001278283787973025
-0.3980622312500001,-0.003035551450026723,0.0001278283787973025
-0.3979645712500001,-0.003035551450026723,0.0001278283787973025
-0.3978669112500001,-0.003035551450026723,0.0001278283787973025
-0.3977692512500001,-0.003035551450026723,0.0001278283787973025
-0.3976715912500001,0.09677141167303716,0.001153665767317153
-0.3975739312500001,-0.002023994391301645,-0.0008980090097220814
-0.3974762712500001,-0.003035551450026263,-0.0002141174173764474
-0.3973786112500001,-0.003035551450026723,0.000127828378797147
-0.3972809512500001,-0.003035551450026723,0.0001278283787973025
-0.3971832912500001,-0.003035551450026723,0.0001278283787973025
-0.3970856312500001,-0.002698365763800156,0.0001278283787973025
-0.3969879712500001,-0.002698365763800002,0.0001278283787973025
-0.39689031125,-0.002698365763800002,0.0001278283787973025
-0.39679265125,-0.002698365763800002,0.0001278283787973025
-0.39669499125,-0.002698365763754002,0.000127828378797458
-0.39659733125,0.09845734010417029,0.000469774174970586
-0.39649967125,-0.002361180077573282,0.0001278283787973025
-0.39640201125,-0.002361180077573282,0.0001278283787973025
-0.39630435125,-0.002361180077573282,0.000127828378797458
-0.39620669125,-0.002361180077573282,0.0004697741749707415
-0.39610903125,-0.002361180077573282,0.0004697741749707415
-0.39601137125,-0.002361180077573282,0.0004697741749707415
-0.39591371125,-0.002361180077573282,0.0004697741749707415
-0.39581605125,-0.002698365763800002,0.0004697741749707415
-0.39571839125,-0.002698365763800002,0.0004697741749707415
-0.39562073125,0.09845734010421614,0.0004697741749707415
-0.39552307125,-0.002361180077573282,0.0001278283787973025
-0.39542541125,-0.002361180077573282,0.0001278283787973025
-0.39532775125,-0.002361180077573282,0.0004697741749707415
-0.39523009125,-0.002361180077573282,0.0004697741749707415
-0.39513243125,-0.001686808705119841,0.001153665767317619
-0.39503477125,-0.001686808705119841,0.001153665767317619
-0.39493711125,-0.001686808705119841,0.001153665767317619
-0.39483945125,-0.001686808705119841,0.001153665767317619
-0.39474179125,-0.001686808705119841,0.001153665767317619
-0.39464413125,0.0960970403006291,0.001153665767317619
-0.39454647125,-0.002023994391346561,-0.0002141174173761364
-0.39444881125,-0.002698365763800002,0.0001278283787973025
-0.39435115125,-0.002698365763800002,0.0001278283787973025
-0.39425349125,-0.003035551450026723,0.0001278283787973025
-0.39415583125,-0.002698365763800002,0.0001278283787973025
-0.39405817125,-0.002698365763800002,0.0001278283787973025
-0.39396051125,-0.002698365763800002,0.0001278283787973025
-0.39386285125,-0.003035551450026723,0.0001278283787973025
-0.39376519125,-0.002698365763800002,0.0001278283787973025
-0.39366753125,0.09508548324194896,0.0008117199711441804
-0.39356987125,-0.001686808705119841,-0.0005560632135495754
-0.39347221125,-0.002698365763800002,0.0001278283787973025
-0.39337455125,-0.003035551450026723,0.0001278283787973025
-0.39327689125,-0.003035551450026723,0.0001278283787973025
-0.39317923125,-0.002698365763800002,0.0001278283787973025
-0.39308157125,-0.002698365763800002,0.0004697741749707415
-0.39298391125,-0.002698365763800002,0.0004697741749707415
-0.39288625125,-0.002361180077573282,0.0008117199711441804
-0.39278859125,-0.003035551450026723,0.0001278283787973025
-0.39269093125,-0.003035551450026723,0.0004697741749707415
-0.39259327125,0.0957598546144024,0.0004697741749707415
-0.39249561125,-0.002698365763800002,0.0001278283787973025
-0.39239795125,-0.003035551450026723,0.0001278283787973025
-0.39230029125,-0.003035551450026723,0.0001278283787973025
-0.39220263125,-0.003035551450026723,0.0001278283787973025
-0.39210497125,-0.003372737136253443,-0.0002141174173761364
-0.39200731125,-0.003372737136253443,0.0001278283787973025
-0.39190965125,-0.003372737136253443,-0.0002141174173761364
-0.39181199125,-0.003035551450026723,0.0001278283787973025
-0.39171433125,-0.003372737136253443,0.0001278283787973025
-0.39161667125,0.0977829687317627,0.0001278283787973025
-0.39151901125,-0.002698365763800002,-0.0002141174173761364
-0.39142135125,-0.003372737136253443,0.0001278283787973025
-0.39132369125,-0.003035551450026723,0.0001278283787973025
-0.3912260312500001,-0.003035551450026723,0.0001278283787973025
-0.3911283712500001,-0.003372737136253443,0.0001278283787973025
-0.3910307112500001,-0.003372737136253443,0.0001278283787973025
-0.3909330512500001,-0.003372737136253443,0.0001278283787973025
-0.3908353912500001,-0.003372737136253443,0.0001278283787973025
-0.3907377312500001,-0.003372737136253443,0.0001278283787973025
-0.3906400712500001,0.09710859735930927,0.0004697741749707415
-0.3905424112500001,-0.002698365763800002,-0.0005560632135495754
-0.3904447512500001,-0.003372737136253443,-0.0002141174173761364
-0.3903470912500001,-0.003372737136253443,0.0001278283787973025
-0.3902494312500001,-0.003372737136253443,0.0001278283787973025
-0.3901517712500001,-0.003372737136253443,0.0001278283787973025
-0.3900541112500001,-0.003372737136253443,0.0001278283787973025
-0.3899564512500001,-0.003372737136253443,0.0001278283787973025
